"～でございます","～でございます","Be (polite of です)"
"あげます","あげます","Give"
"いただきます","いただきます","Receive (humble equivalent of もらいます）,Thankyou, Said before eating or drinking"
"います","います","Stay, be, Have (a child)"
"いれます","いれます","Make (coffee)"
"うっとりします","うっとりします","Be enchanted, Fascinated"
"おっしゃいます","おっしゃいます","Say (respectful)"
"おめでとうございます","おめでとうございます","Congradulations"
"お目に掛かります","おめにかかります","Meet (humble)"
"かけます","かけます","Put on (glasses), Make (a telephone call)"
"がっかりします","がっかりします","Be disappointed"
"くださいます","くださいます","Give (respectful equivalent of くれます）"
"くれます","くれます","Give (me)"
"ございます","ございます","Be (polite of あります)"
"ご覧にあります","ごらんにあります","See, Look at (respectful)"
"します「匂いが～」,「味が～」,「音・声が～」","します「においが～」,「あじが～」,「おと・こえが～」","To smell (a smell), To Taste, To hear (sound, voice)"
"そのままにします","そのままにします","Leave things as they are"
"できます","できます","Be able to, can, [something] be made, be completed"
"どきどきします","どきどきします","Be scared"
"なります","なります","Become"
"のどが渇きます","かわきます","Thirsty"
"はらはらします","はらはらします","Feel uneasy"
"ひきます","ひきます","Catch (a cold)"
"もらいます","もらいます","Receive"
"やります","やります","Do, Give (to a younger person or subordinate)"
"ゆっくりします","ゆっくりします","Take one's time"
"わくわくします","わくわくします","Be excited"
"上がります「値段が」","あがります「ねだんが」","Rise (prices)"
"上げます","あげます","Raise, Lift"
"上ります","のぼります","To go up"
"上京します","じょうきょうします","To go up to Tokyo"
"下がります「値段が」","さがります「ねだんが」","To go down (Prices)"
"下げます","さげます","To lower (sound), To hang, To move back, To wear, To dismiss, To grant"
"下ろします，降ろします","おろします","Put down, lower (something)"
"下車します","げしゃします","To get off"
"不足します","ふそくします","To be in sufficient, To have shortage"
"世話をします","せわをします","Take care"
"並びます","ならびます","Stand in a queue, line up, to rival, to match, to equal"
"並べます","ならべます","Arrange, Line up"
"中止します","ちゅうしします","To cancel, to stop"
"乗ります","のります","Ride, get on"
"乗り換えます","のりかえます","Change (Trains)"
"乾きます","かわきます","Dry"
"予約します","よやくします","Reserve, Book"
"予習します","よしゅうします","Prepare one's lesson"
"亡くなります","なくなります","Pass away (Euphemistic expression for しにます）"
"交わります","まじわります","To cross, To intersect, To associate with, To keep company with"
"仕事を止めます","しごとをやめます","Retire from job"
"仕舞います","しまいます","Put things in their proper place, To finish a job"
"付きます","つきます","[a pocket] be attached"
"付けます、「丸を」","つけます、「まるを」","Attach, Put on, Draw or Mark (a circle)"
"仲良くします","なかよくします","Be on good terms with"
"休みます","やすみます","Take a day off, Go to bed"
"休憩します","きゅうけいします","Take a break, take a rest"
"会います「事故に」","あいます「じこに」","Meet, Encounter [an accident]"
"伝えます","つたえます","Convey (a message)"
"伺います","うかがいます","Ask, hear, visit (humble), I'm coming"
"似ています","にています","Resemble"
"住みます","すみます","To live"
"住んでいます","すんでいます","Live in a place"
"作ります","つくります","Make, Produce"
"使います","つかいます","Use"
"信じます","しんじます","Believe, Trust"
"修理します","しゅりします","Repair"
"倒れます","たおれます","Fall down"
"借ります","かります","Borrow"
"働きます","はたらきます","To work"
"優勝します","ゆうしょうします","Win the championship"
"入ります","はいります","Enter (a university, coffee shop)"
"入れます","いれます","Put in, Insert"
"入れます「電源を～」","いれます「でんげんを」","Turn on [the power switch]"
"入学します","にゅうがくします","Enter (a university)"
"入院します","にゅういんします","To be in hospital"
"公開します","こうかいします","To open to the public"
"再婚します","さいこんします","Marry again"
"冷やします","ひやします","Cool"
"出かけます","でかけます","Go out"
"出します","だします","Hand in (a report), take out, withdraw, send"
"出ます","でます","Graduate From, come out"
"出ます（試合に）","でます（しあいに）","Participate (in a game)"
"出ます「バスが」","でます「バスが」","Leave, depart (a bus)"
"出席します","しゅっせきします","Attend (a meeting)"
"出張します","しゅっちょうします","Go on a Business trip"
"出発します","しゅっぱつします","Depart"
"出荷します","しゅっかします","To ship goods"
"分かります","わかります","To understand"
"分けます","わけます","To divide"
"切ります,「電源を～」","きります,「でんげんを」","Cut, Slice, Saw, Turn off [Power switch]"
"切れます「紐が」","きれます「ひもが」","[a string] break, snap"
"別れます「人が～」","わかれます「ひとが～」","Part, seporate (people)"
"利用します","るようします","To use"
"到着します","とうちゃくします","To arrive"
